rank,numero_cnj,pid,score,ano_cnj,classe_nome,composite,link
387,1003506-75.2024.4.01.4101,1293585,0.8677,2024,CUMPRIMENTO DE SENTENÇA CONTRA A FAZENDA PÚBLICA,0.9577,https://voyager.was.dev.br/dashboard/processos/1293585/
388,1018115-75.2024.4.01.4000,1418591,0.8674,2024,CUMPRIMENTO DE SENTENÇA CONTRA A FAZENDA PÚBLICA,0.9574,https://voyager.was.dev.br/dashboard/processos/1418591/
389,1001695-82.2025.4.01.3507,1385934,0.8523,2025,CUMPRIMENTO DE SENTENÇA CONTRA A FAZENDA PÚBLICA,0.9573,https://voyager.was.dev.br/dashboard/processos/1385934/
390,1001047-80.2026.4.01.3309,1933841,0.8368,2026,CUMPRIMENTO DE SENTENçA CONTRA A FAZENDA PúBLICA,0.9568,https://voyager.was.dev.br/dashboard/processos/1933841/
391,1007226-80.2024.4.01.3703,1398174,0.8665,2024,CUMPRIMENTO DE SENTENÇA CONTRA A FAZENDA PÚBLICA,0.9565,https://voyager.was.dev.br/dashboard/processos/1398174/
392,1002077-75.2025.4.01.3507,1385964,0.8515,2025,CUMPRIMENTO DE SENTENÇA CONTRA A FAZENDA PÚBLICA,0.9565,https://voyager.was.dev.br/dashboard/processos/1385964/
393,1036756-14.2024.4.01.4000,1407042,0.8663,2024,CUMPRIMENTO DE SENTENÇA CONTRA A FAZENDA PÚBLICA,0.9563,https://voyager.was.dev.br/dashboard/processos/1407042/
394,1000800-77.2022.4.01.3200,1487178,0.8961,2022,CUMPRIMENTO DE SENTENÇA CONTRA A FAZENDA PÚBLICA,0.9561,https://voyager.was.dev.br/dashboard/processos/1487178/
395,1042890-77.2025.4.01.3400,1209963,0.8511,2025,CUMPRIMENTO DE SENTENçA CONTRA A FAZENDA PúBLICA,0.9561,https://voyager.was.dev.br/dashboard/processos/1209963/
396,1031104-33.2025.4.01.3304,2414729,0.8508,2025,CUMPRIMENTO DE SENTENçA CONTRA A FAZENDA PúBLICA,0.9558,https://voyager.was.dev.br/dashboard/processos/2414729/
397,1041474-71.2025.4.01.3304,1373975,0.8508,2025,CUMPRIMENTO DE SENTENÇA CONTRA A FAZENDA PÚBLICA,0.9558,https://voyager.was.dev.br/dashboard/processos/1373975/
398,1008598-30.2025.4.01.3703,1398221,0.8508,2025,CUMPRIMENTO DE SENTENÇA CONTRA A FAZENDA PÚBLICA,0.9558,https://voyager.was.dev.br/dashboard/processos/1398221/
399,1041323-08.2025.4.01.3304,2414888,0.8508,2025,CUMPRIMENTO DE SENTENçA CONTRA A FAZENDA PúBLICA,0.9558,https://voyager.was.dev.br/dashboard/processos/2414888/
400,1034582-49.2025.4.01.3304,1373926,0.8508,2025,CUMPRIMENTO DE SENTENÇA CONTRA A FAZENDA PÚBLICA,0.9558,https://voyager.was.dev.br/dashboard/processos/1373926/
401,1013350-57.2025.4.01.3311,1362280,0.8508,2025,CUMPRIMENTO DE SENTENÇA CONTRA A FAZENDA PÚBLICA,0.9558,https://voyager.was.dev.br/dashboard/processos/1362280/
402,1036912-19.2025.4.01.3304,2414890,0.8508,2025,CUMPRIMENTO DE SENTENçA CONTRA A FAZENDA PúBLICA,0.9558,https://voyager.was.dev.br/dashboard/processos/2414890/
403,1039297-37.2025.4.01.3304,2417091,0.8508,2025,CUMPRIMENTO DE SENTENçA CONTRA A FAZENDA PúBLICA,0.9558,https://voyager.was.dev.br/dashboard/processos/2417091/
404,1009141-33.2025.4.01.3703,1610168,0.8508,2025,CUMPRIMENTO DE SENTENÇA CONTRA A FAZENDA PÚBLICA,0.9558,https://voyager.was.dev.br/dashboard/processos/1610168/
405,1035970-84.2025.4.01.3304,2415725,0.8508,2025,CUMPRIMENTO DE SENTENçA CONTRA A FAZENDA PúBLICA,0.9558,https://voyager.was.dev.br/dashboard/processos/2415725/
